merchant,description,amount,category
Uber,Airport ride,4483,Transport
Spotify,Music subscription,2167,Entertainment
Netflix,Monthly subscription,2394,Entertainment
Myntra,Clothing order,3646,Shopping
Ola,City travel,3988,Transport
Amazon,Electronics purchase,268,Shopping
BookMyShow,Movie ticket,868,Entertainment
Swiggy,Lunch order,1002,Food
Metro,Metro ticket,1894,Transport
Amazon,Electronics purchase,364,Shopping
Flipkart,Online shopping,4558,Shopping
Rapido,Bike ride,3615,Transport
Dominos,Pizza order,4154,Food
Dominos,Pizza order,1487,Food
Amazon,Electronics purchase,1462,Shopping
Spotify,Music subscription,3803,Entertainment
Spotify,Music subscription,3613,Entertainment
Spotify,Music subscription,1723,Entertainment
Swiggy,Lunch order,1533,Food
KFC,Chicken meal,3510,Food
BookMyShow,Movie ticket,3968,Entertainment
Ola,City travel,149,Transport
Metro,Metro ticket,657,Transport
KFC,Chicken meal,2787,Food
Amazon,Electronics purchase,4200,Shopping
Myntra,Clothing order,2772,Shopping
Spotify,Music subscription,396,Entertainment
Spotify,Music subscription,1705,Entertainment
Swiggy,Lunch order,2549,Food
Myntra,Clothing order,4585,Shopping
Amazon,Electronics purchase,4637,Shopping
Ajio,Fashion shopping,2210,Shopping
Uber,Airport ride,4715,Transport
BookMyShow,Movie ticket,3537,Entertainment
Uber,Airport ride,408,Transport
Amazon,Electronics purchase,3569,Shopping
Amazon,Electronics purchase,3087,Shopping
Ola,City travel,1210,Transport
Metro,Metro ticket,2195,Transport
Starbucks,Coffee purchase,3961,Food
Ajio,Fashion shopping,617,Shopping
Metro,Metro ticket,2481,Transport
Amazon,Electronics purchase,815,Shopping
Myntra,Clothing order,4638,Shopping
Netflix,Monthly subscription,4619,Entertainment
Amazon,Electronics purchase,1343,Shopping
Netflix,Monthly subscription,1507,Entertainment
Ajio,Fashion shopping,1063,Shopping
Amazon,Electronics purchase,4968,Shopping
Rapido,Bike ride,3167,Transport
Swiggy,Lunch order,4990,Food
Starbucks,Coffee purchase,806,Food
Dominos,Pizza order,2370,Food
Spotify,Music subscription,2822,Entertainment
Rapido,Bike ride,467,Transport
Dominos,Pizza order,3925,Food
Netflix,Monthly subscription,2645,Entertainment
Zomato,Food delivery,2805,Food
Myntra,Clothing order,2834,Shopping
Metro,Metro ticket,667,Transport
Dominos,Pizza order,874,Food
KFC,Chicken meal,2294,Food
Uber,Airport ride,4911,Transport
Netflix,Monthly subscription,2765,Entertainment
KFC,Chicken meal,4812,Food
BookMyShow,Movie ticket,1192,Entertainment
Amazon,Electronics purchase,3197,Shopping
Ajio,Fashion shopping,4181,Shopping
BookMyShow,Movie ticket,2947,Entertainment
Zomato,Food delivery,3987,Food
Rapido,Bike ride,2378,Transport
KFC,Chicken meal,550,Food
Rapido,Bike ride,4684,Transport
Rapido,Bike ride,4459,Transport
Ola,City travel,4685,Transport
Spotify,Music subscription,468,Entertainment
Spotify,Music subscription,4283,Entertainment
Rapido,Bike ride,3772,Transport
Uber,Airport ride,3617,Transport
KFC,Chicken meal,1693,Food
Amazon,Electronics purchase,2470,Shopping
BookMyShow,Movie ticket,2267,Entertainment
Ajio,Fashion shopping,2563,Shopping
Ola,City travel,4415,Transport
Swiggy,Lunch order,1171,Food
BookMyShow,Movie ticket,3820,Entertainment
KFC,Chicken meal,123,Food
Starbucks,Coffee purchase,3769,Food
Dominos,Pizza order,4452,Food
Spotify,Music subscription,4822,Entertainment
Ola,City travel,3193,Transport
Flipkart,Online shopping,1915,Shopping
BookMyShow,Movie ticket,4335,Entertainment
BookMyShow,Movie ticket,834,Entertainment
Netflix,Monthly subscription,2812,Entertainment
KFC,Chicken meal,394,Food
KFC,Chicken meal,4147,Food
Swiggy,Lunch order,2589,Food
Flipkart,Online shopping,3132,Shopping
Dominos,Pizza order,353,Food
Spotify,Music subscription,2752,Entertainment
Uber,Airport ride,970,Transport
Amazon,Electronics purchase,984,Shopping
Ola,City travel,3122,Transport
Flipkart,Online shopping,3254,Shopping
Dominos,Pizza order,4506,Food
Zomato,Food delivery,1046,Food
Starbucks,Coffee purchase,1535,Food
BookMyShow,Movie ticket,3021,Entertainment
Spotify,Music subscription,275,Entertainment
Flipkart,Online shopping,3189,Shopping
BookMyShow,Movie ticket,4402,Entertainment
BookMyShow,Movie ticket,1395,Entertainment
Metro,Metro ticket,3987,Transport
KFC,Chicken meal,1763,Food
Metro,Metro ticket,2515,Transport
Uber,Airport ride,3446,Transport
Uber,Airport ride,4796,Transport
Spotify,Music subscription,4730,Entertainment
Spotify,Music subscription,585,Entertainment
Ajio,Fashion shopping,4007,Shopping
Rapido,Bike ride,4780,Transport
Myntra,Clothing order,350,Shopping
Uber,Airport ride,4639,Transport
Ajio,Fashion shopping,4119,Shopping
Amazon,Electronics purchase,724,Shopping
Rapido,Bike ride,4302,Transport
BookMyShow,Movie ticket,3726,Entertainment
Zomato,Food delivery,2985,Food
Dominos,Pizza order,4764,Food
Zomato,Food delivery,4598,Food
BookMyShow,Movie ticket,1675,Entertainment
BookMyShow,Movie ticket,2312,Entertainment
Rapido,Bike ride,4341,Transport
Amazon,Electronics purchase,2133,Shopping
Zomato,Food delivery,350,Food
Spotify,Music subscription,3578,Entertainment
Myntra,Clothing order,4578,Shopping
KFC,Chicken meal,2739,Food
Netflix,Monthly subscription,3704,Entertainment
Rapido,Bike ride,3098,Transport
BookMyShow,Movie ticket,1174,Entertainment
Amazon,Electronics purchase,2258,Shopping
Zomato,Food delivery,679,Food
Flipkart,Online shopping,3320,Shopping
Flipkart,Online shopping,4540,Shopping
Rapido,Bike ride,2174,Transport
Ola,City travel,3458,Transport
Amazon,Electronics purchase,2043,Shopping
Myntra,Clothing order,1330,Shopping
Zomato,Food delivery,4459,Food
Swiggy,Lunch order,4652,Food
Myntra,Clothing order,2691,Shopping
Starbucks,Coffee purchase,2181,Food
Netflix,Monthly subscription,1196,Entertainment
Amazon,Electronics purchase,1691,Shopping
Dominos,Pizza order,4738,Food
Ola,City travel,1569,Transport
Rapido,Bike ride,4836,Transport
Spotify,Music subscription,4688,Entertainment
Netflix,Monthly subscription,3434,Entertainment
Ajio,Fashion shopping,4366,Shopping
Spotify,Music subscription,2181,Entertainment
Flipkart,Online shopping,4070,Shopping
Starbucks,Coffee purchase,4606,Food
Spotify,Music subscription,2152,Entertainment
Metro,Metro ticket,3820,Transport
Ajio,Fashion shopping,3228,Shopping
BookMyShow,Movie ticket,4572,Entertainment
Ajio,Fashion shopping,4190,Shopping
Spotify,Music subscription,4861,Entertainment
Amazon,Electronics purchase,2823,Shopping
Ajio,Fashion shopping,4539,Shopping
Rapido,Bike ride,4418,Transport
Ajio,Fashion shopping,2293,Shopping
KFC,Chicken meal,1858,Food
Ajio,Fashion shopping,4778,Shopping
Zomato,Food delivery,1165,Food
Swiggy,Lunch order,282,Food
KFC,Chicken meal,4653,Food
Dominos,Pizza order,1037,Food
Metro,Metro ticket,373,Transport
BookMyShow,Movie ticket,3968,Entertainment
Netflix,Monthly subscription,4523,Entertainment
Zomato,Food delivery,4539,Food
BookMyShow,Movie ticket,4847,Entertainment
Swiggy,Lunch order,1021,Food
Netflix,Monthly subscription,2088,Entertainment
Starbucks,Coffee purchase,2829,Food
BookMyShow,Movie ticket,182,Entertainment
BookMyShow,Movie ticket,3479,Entertainment
Dominos,Pizza order,1487,Food
Myntra,Clothing order,4801,Shopping
BookMyShow,Movie ticket,3317,Entertainment
Swiggy,Lunch order,1913,Food
Flipkart,Online shopping,202,Shopping
Uber,Airport ride,3107,Transport
Ola,City travel,4126,Transport
Starbucks,Coffee purchase,1399,Food
Flipkart,Online shopping,1705,Shopping
Dominos,Pizza order,2865,Food
Uber,Airport ride,551,Transport
Amazon,Electronics purchase,2884,Shopping
Spotify,Music subscription,1329,Entertainment
Starbucks,Coffee purchase,3612,Food
Amazon,Electronics purchase,132,Shopping
Flipkart,Online shopping,1965,Shopping
Netflix,Monthly subscription,2277,Entertainment
BookMyShow,Movie ticket,3245,Entertainment
Metro,Metro ticket,747,Transport
Uber,Airport ride,3002,Transport
KFC,Chicken meal,4306,Food
Zomato,Food delivery,4951,Food
Rapido,Bike ride,564,Transport
Myntra,Clothing order,3569,Shopping
Spotify,Music subscription,377,Entertainment
Zomato,Food delivery,1707,Food
BookMyShow,Movie ticket,1977,Entertainment
Myntra,Clothing order,4833,Shopping
BookMyShow,Movie ticket,1029,Entertainment
Dominos,Pizza order,3067,Food
Metro,Metro ticket,3580,Transport
BookMyShow,Movie ticket,4106,Entertainment
Amazon,Electronics purchase,3545,Shopping
Ola,City travel,4991,Transport
KFC,Chicken meal,3999,Food
Ajio,Fashion shopping,3168,Shopping
Rapido,Bike ride,3061,Transport
Flipkart,Online shopping,879,Shopping
Ola,City travel,613,Transport
Myntra,Clothing order,4449,Shopping
Spotify,Music subscription,3302,Entertainment
Swiggy,Lunch order,697,Food
Spotify,Music subscription,2014,Entertainment
BookMyShow,Movie ticket,312,Entertainment
Zomato,Food delivery,3739,Food
Flipkart,Online shopping,4858,Shopping
Netflix,Monthly subscription,2798,Entertainment
BookMyShow,Movie ticket,2428,Entertainment
Netflix,Monthly subscription,4462,Entertainment
Netflix,Monthly subscription,2977,Entertainment
Flipkart,Online shopping,1038,Shopping
Rapido,Bike ride,1437,Transport
Rapido,Bike ride,3645,Transport
Swiggy,Lunch order,1179,Food
Metro,Metro ticket,1845,Transport
Swiggy,Lunch order,1098,Food
Myntra,Clothing order,519,Shopping
Uber,Airport ride,538,Transport
Netflix,Monthly subscription,2565,Entertainment
Ola,City travel,3574,Transport
Starbucks,Coffee purchase,2502,Food
Zomato,Food delivery,3822,Food
Starbucks,Coffee purchase,1345,Food
Flipkart,Online shopping,600,Shopping
Netflix,Monthly subscription,4749,Entertainment
Dominos,Pizza order,949,Food
Ola,City travel,285,Transport
KFC,Chicken meal,2886,Food
Myntra,Clothing order,731,Shopping
Dominos,Pizza order,1485,Food
Netflix,Monthly subscription,3678,Entertainment
Spotify,Music subscription,3145,Entertainment
Spotify,Music subscription,4669,Entertainment
